#;Grupo taxonômico;Ordem;Família;Espécie ou Subespécie;Nome avaliação anterior;Categoria em 2014;Sugestão de Categoria 2021;EW;CR;EN,;VU;RE;EX;Mesma Categoria de Ameaça 2014;Aumentou a Categoria de Ameaça;Reduziu a Categoria de Ameaça;Entrou em Categoria de Ameaça;Saiu da Categoria de Ameaça;Mantida a Categoria 2014  por não ter reavaliação ou validação
1;Invertebrados Marinhos;Actiniaria;Actiniidae;Condylactis gigantea;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
2;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus acaraje;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
3;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus asturius;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
4;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus caatingae;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
5;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus eleonorae;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
6;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus ferreus;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
7;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus potiguar;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
8;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus spelaeus;;;Vulnerável (VU);;;;X;;;;;;X;;
9;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus taboa;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
10;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus troglobius;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
11;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus bahiensis;;;Vulnerável (VU);;;;X;;;;;;X;;
12;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus sanctus;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
13;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus santanensis;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
14;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus spinilacertus;;;Em Perigo (EN);;;X;;;;;;;X;;
15;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus titan;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
16;Invertebrados de Água Doce ;Amphipoda;Artesiidae;Spelaeogammarus trajanoae;;;Em Perigo (EN);;;X;;;;;;;X;;
17;Invertebrados de Água Doce;Amphipoda;Bogidiellidae;Megagidiella azul;;;Vulnerável (VU);;;;X;;;;;;X;;
18;Invertebrados de Água Doce;Amphipoda;Dogielinotidae;Hyalella caeca;;Menos Preocupante (LC);Vulnerável (VU);;;;X;;;;;;X;;
19;Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella epikarstica;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
20;Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella formosa;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
21;Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella imbya;;;Criticamente em Perigo (CR)(PEX);;X;;;;;;;;X;;
22;Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella veredae;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
23;Invertebrados de Água Doce;Amphipoda;Mesogammaridae;Potiberaba porakuara;;;Vulnerável (VU);;;;X;;;;;;X;;
24;Invertebrados de Água Doce;Amphipoda;Sebidae;Seborgia potiguar;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
25;Invertebrados Marinhos;Anthoathecata;Milleporidae;Millepora laboreli;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
26;Invertebrados Marinhos;Apodida;Synaptidae;Synaptula secreta;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
